,city,cloudiness,country,humidity,latitude,temperature,wind speed
0,saint-augustin,56,FR,92,44.83,32.0,2.93
1,tekeli,92,KZ,100,44.86,30.41,5.39
2,bograd,68,RU,75,54.22,-18.41,2.37
3,cervo,20,BR,94,-22.19,67.31,2.93
4,lewistown,90,US,100,40.39,32.0,12.75
5,oroville,90,US,82,39.51,51.08,9.17
6,isangel,92,VU,100,-19.55,79.01,12.77
7,mindelo,75,PT,87,41.31,50.0,8.05
8,taolanaro,75,PT,87,41.31,50.0,8.05
9,tasiilaq,0,GL,46,65.61,8.6,2.24
10,hobart,75,AU,63,-42.88,66.2,16.11
11,geraldton,90,CA,78,49.72,17.6,27.51
12,carnarvon,0,ZA,44,-30.97,58.81,7.96
13,belushya guba,0,ZA,44,-30.97,58.81,7.96
14,punta arenas,75,CL,61,-53.16,50.0,34.45
15,kirksville,90,US,100,40.19,33.08,13.87
16,dikson,64,RU,100,73.51,8.54,6.96
17,port alfred,88,ZA,100,-33.59,69.29,4.38
18,belaya gora,32,RU,71,68.54,-36.28,3.15
19,rudbar,32,RU,71,68.54,-36.28,3.15
20,rikitea,68,PF,99,-23.12,80.05,13.67
21,souillac,0,FR,75,45.6,35.6,2.24
22,mataura,80,NZ,62,-46.19,71.86,8.41
23,fort-shevchenko,0,KZ,94,44.51,42.25,25.86
24,thompson,5,CA,68,55.74,-18.41,4.7
25,la rioja,0,AR,84,-29.41,70.91,2.48
26,nanaimo,40,CA,81,49.17,44.6,5.82
27,bhindar,40,PK,87,32.5,44.6,4.7
28,castro,90,CL,71,-42.48,55.4,10.29
29,severo-kurilsk,64,RU,100,50.68,24.97,9.42
30,busselton,12,AU,100,-33.64,63.49,10.65
31,dharmadam,0,IN,67,11.78,62.81,5.28
32,dingle,48,PH,79,11.0,76.09,16.02
33,san quintin,0,PH,79,17.54,68.26,3.6
34,gua musang,68,MY,89,4.88,72.62,2.26
35,amderma,68,MY,89,4.88,72.62,2.26
36,bluff,0,AU,51,-23.58,85.22,6.17
37,sens,20,FR,80,48.2,42.8,3.36
38,cape town,0,ZA,72,-33.93,64.4,3.36
39,nanortalik,88,GL,80,60.14,30.2,2.24
40,ushuaia,75,AR,87,-54.81,48.2,23.04
41,avarua,40,CK,66,-21.21,86.0,10.29
42,along,0,IN,54,28.17,42.97,2.37
43,oga,8,NG,85,8.18,73.48,2.82
44,lavrentiya,88,RU,94,65.58,33.56,18.81
45,aykhal,76,RU,64,65.95,-23.14,12.1
46,sao joao da barra,0,BR,95,-21.64,80.05,22.84
47,olinda,75,EC,74,-2.03,82.4,4.7
48,sydney,0,AU,74,-33.85,86.0,6.93
49,mar del plata,0,AR,30,-46.43,69.47,22.73
50,tchibanga,56,GA,99,-2.92,73.75,2.37
51,puerto ayora,0,EC,66,-0.74,84.2,16.11
52,hermanus,0,ZA,93,-34.42,58.0,6.17
53,ulverstone,0,AU,75,-41.16,71.41,5.39
54,qaanaaq,0,GL,100,77.48,-31.47,9.64
55,vaini,0,IN,76,15.34,58.18,3.15
56,hofn,80,IS,100,64.25,29.56,25.19
57,sfantu gheorghe,0,RO,92,44.65,17.6,5.82
58,berbera,0,RO,92,44.65,17.6,5.82
59,gawler,0,AU,28,-34.6,86.0,6.93
60,pangnirtung,90,CA,70,66.15,-4.01,8.05
61,puerto del rosario,0,ES,67,28.5,62.6,14.99
62,georgetown,40,GY,83,6.8,80.6,11.41
63,jamestown,12,AU,43,-33.21,90.17,7.74
64,altay,76,CN,61,47.83,0.04,2.15
65,santa isabel,20,CO,69,4.71,78.8,3.36
66,berlevag,0,NO,73,70.86,21.2,6.93
67,arraial do cabo,12,BR,82,-22.97,78.56,20.94
68,san cristobal,40,EC,72,-0.39,62.6,9.17
69,uzumlu,40,EC,72,-0.39,62.6,9.17
70,ahome,40,MX,57,25.92,75.2,6.93
71,kodiak,90,US,100,39.95,33.08,12.75
72,asau,90,US,100,39.95,33.08,12.75
73,hambantota,32,LK,100,6.12,77.21,12.33
74,kasongo-lunda,12,CD,98,-6.48,68.35,2.15
75,torbay,90,CA,100,47.66,33.8,11.41
76,tuktoyaktuk,75,CA,75,69.44,-18.41,13.87
77,huarmey,80,PE,69,-10.07,72.62,4.61
78,namatanai,8,PG,95,-3.66,85.31,7.96
79,norman wells,75,CA,76,65.28,-9.41,4.7
80,darhan,0,MN,32,49.49,-10.14,3.94
81,coihaique,75,CL,50,-45.58,55.4,8.05
82,kahului,90,US,64,20.89,82.94,3.36
83,krumovgrad,0,BG,64,41.47,25.46,10.2
84,vaitupu,0,BG,64,41.47,25.46,10.2
85,lismore,0,AU,48,-28.81,84.2,6.93
86,nioro,0,GM,36,13.79,73.03,7.96
87,rocha,92,UY,99,-34.48,68.8,7.4
88,merauke,48,ID,90,-8.49,83.83,4.83
89,serednye vodyane,88,UA,92,47.98,26.6,5.82
90,dong xoai,44,VN,97,11.53,71.23,3.04
91,albany,90,US,74,42.65,30.02,3.36
92,candawaga,90,US,74,42.65,30.02,3.36
93,harper,90,US,82,30.3,51.08,4.7
94,sentyabrskiy,90,US,82,30.3,51.08,4.7
95,hunsur,0,IN,92,12.3,53.54,6.96
96,ridgecrest,90,US,79,35.62,48.02,3.36
97,faanui,48,PF,99,-16.48,84.59,13.44
98,new norfolk,75,AU,63,-42.78,66.2,16.11
99,laguna,40,MX,41,27.52,78.8,6.93
100,butaritari,64,KI,100,3.07,83.96,18.48
101,buraydah,40,SA,67,26.33,57.2,4.7
102,yellowknife,75,CA,68,62.45,-16.61,4.7
103,muyezerskiy,80,RU,93,63.93,22.81,3.71
104,batangafo,0,CF,30,7.3,68.57,9.19
105,valdivia,0,CL,67,-39.81,62.6,6.93
106,haines junction,92,CA,79,60.75,1.61,2.37
107,kailua,40,US,61,21.39,80.96,5.82
108,aquin,32,HT,100,18.28,77.84,6.62
109,portland,75,US,55,45.52,46.04,16.11
110,grand river south east,75,US,55,45.52,46.04,16.11
111,butembo,20,CD,90,0.12,59.17,2.15
112,tsihombe,20,CD,90,0.12,59.17,2.15
113,lebu,0,ET,76,8.96,34.82,2.48
114,senekal,0,ZA,93,-28.32,64.61,14.56
115,sitka,0,US,83,37.17,42.92,1.14
116,port-gentil,40,GA,88,-0.72,80.6,3.36
117,tongchuan,0,CN,41,34.9,19.4,6.71
